"skm","skv","gm","gv","idm","mv","me","md","vv","ve","vd","sg","resp"
2422,1191,2,0,0,0,0,0,0,0,1,-2,m
2411,2227,3,0,1,1,0,0,0,0,0,3,m
2734,2286,1,0,0,0,0,0,0,0,1,-1,m
2810,1854,1,2,0,0,0,0,1,0,0,1,v
1245,2707,2,6,0,0,0,0,1,0,0,4,v
1747,2657,1,1,0,0,0,0,0,1,0,0,e
945,118,1,0,0,0,0,0,0,0,1,-1,m
2684,1550,1,2,0,0,0,0,1,0,0,1,v
2139,988,2,1,0,0,0,0,0,0,1,-1,m
2586,425,1,1,0,0,0,0,0,1,0,0,e
2661,2370,2,3,1,0,0,1,0,0,0,-1,v
1375,2840,0,5,1,0,0,1,0,0,0,-5,v
1274,848,0,0,1,0,1,0,0,0,0,0,e
883,2621,3,0,1,1,0,0,0,0,0,3,m
1924,443,2,0,1,1,0,0,0,0,0,2,m
1213,1610,2,1,0,0,0,0,0,0,1,-1,m
2791,1290,2,3,0,0,0,0,1,0,0,1,v
2026,218,2,1,0,0,0,0,0,0,1,-1,m
259,1457,1,0,1,1,0,0,0,0,0,1,m
1464,1878,1,1,0,0,0,0,0,1,0,0,e
288,1574,1,2,1,0,0,1,0,0,0,-1,v
2111,1626,3,2,1,1,0,0,0,0,0,1,m
1267,1381,1,2,1,0,0,1,0,0,0,-1,v
502,1018,2,2,1,0,1,0,0,0,0,0,e
386,2371,1,1,1,0,1,0,0,0,0,0,e
848,738,3,2,0,0,0,0,0,0,1,-1,m
697,1653,3,2,0,0,0,0,0,0,1,-1,m
2263,898,0,7,1,0,0,1,0,0,0,-7,v
2560,2706,2,2,1,0,1,0,0,0,0,0,e
2757,1133,4,0,0,0,0,0,0,0,1,-4,m
220,1824,2,0,0,0,0,0,0,0,1,-2,m
2548,2110,3,1,1,1,0,0,0,0,0,2,m
1975,1033,1,2,0,0,0,0,1,0,0,1,v
2797,1616,0,1,1,0,0,1,0,0,0,-1,v
2823,2119,2,2,1,0,1,0,0,0,0,0,e
2714,891,1,0,0,0,0,0,0,0,1,-1,m
1008,2777,2,2,1,0,1,0,0,0,0,0,e
79,1344,1,0,1,1,0,0,0,0,0,1,m
841,936,1,1,0,0,0,0,0,1,0,0,e
305,184,1,4,1,0,0,1,0,0,0,-3,v
2759,2401,0,3,1,0,0,1,0,0,0,-3,v
531,606,3,1,1,1,0,0,0,0,0,2,m
473,1535,0,2,1,0,0,1,0,0,0,-2,v
2018,625,4,2,0,0,0,0,0,0,1,-2,m
1404,2705,0,0,0,0,0,0,0,1,0,0,e
2313,1335,5,0,1,1,0,0,0,0,0,5,m
1018,2311,0,1,0,0,0,0,1,0,0,1,v
2110,2299,0,0,0,0,0,0,0,1,0,0,e
2004,1425,0,2,0,0,0,0,1,0,0,2,v
234,368,3,1,0,0,0,0,0,0,1,-2,m
374,1966,2,3,1,0,0,1,0,0,0,-1,v
2118,1066,2,2,1,0,1,0,0,0,0,0,e
1482,515,3,2,1,1,0,0,0,0,0,1,m
2530,2406,0,0,1,0,1,0,0,0,0,0,e
2721,2521,2,0,1,1,0,0,0,0,0,2,m
1289,2198,5,1,0,0,0,0,0,0,1,-4,m
2743,979,1,0,1,1,0,0,0,0,0,1,m
849,1117,0,1,0,0,0,0,1,0,0,1,v
1924,643,1,1,0,0,0,0,0,1,0,0,e
1527,1076,1,0,1,1,0,0,0,0,0,1,m
2448,2638,1,0,1,1,0,0,0,0,0,1,m
2710,547,1,0,0,0,0,0,0,0,1,-1,m
2826,2200,2,2,0,0,0,0,0,1,0,0,e
30,145,0,2,0,0,0,0,1,0,0,2,v
2107,2810,1,1,0,0,0,0,0,1,0,0,e
2036,642,0,0,1,0,1,0,0,0,0,0,e
1753,1631,0,0,0,0,0,0,0,1,0,0,e
2642,2253,1,2,0,0,0,0,1,0,0,1,v
374,333,3,2,0,0,0,0,0,0,1,-1,m
1810,475,0,1,0,0,0,0,1,0,0,1,v
1165,469,1,0,1,1,0,0,0,0,0,1,m
2658,1013,3,2,1,1,0,0,0,0,0,1,m
469,2618,1,2,0,0,0,0,1,0,0,1,v
891,2838,1,0,0,0,0,0,0,0,1,-1,m
2727,2326,0,1,1,0,0,1,0,0,0,-1,v
212,1809,3,3,1,0,1,0,0,0,0,0,e
648,2172,1,2,1,0,0,1,0,0,0,-1,v
1681,2540,2,0,1,1,0,0,0,0,0,2,m
1798,1292,2,2,1,0,1,0,0,0,0,0,e
2312,1026,4,1,0,0,0,0,0,0,1,-3,m
1817,1522,0,0,0,0,0,0,0,1,0,0,e
1690,2145,3,2,1,1,0,0,0,0,0,1,m
2172,1610,1,2,0,0,0,0,1,0,0,1,v
841,936,3,2,0,0,0,0,0,0,1,-1,m
2086,1663,1,0,1,1,0,0,0,0,0,1,m
1898,2519,1,3,1,0,0,1,0,0,0,-2,v
845,2840,1,0,0,0,0,0,0,0,1,-1,m
1820,1399,2,1,0,0,0,0,0,0,1,-1,m
2185,182,0,1,0,0,0,0,1,0,0,1,v
455,1082,2,0,0,0,0,0,0,0,1,-2,m
1952,212,3,2,0,0,0,0,0,0,1,-1,m
706,2149,1,0,0,0,0,0,0,0,1,-1,m
1258,220,3,0,0,0,0,0,0,0,1,-3,m
1590,1880,3,0,1,1,0,0,0,0,0,3,m
1163,683,2,0,1,1,0,0,0,0,0,2,m
1271,1570,2,1,1,1,0,0,0,0,0,1,m
1048,2757,1,0,1,1,0,0,0,0,0,1,m
1550,1268,0,2,1,0,0,1,0,0,0,-2,v
2237,2643,0,1,0,0,0,0,1,0,0,1,v
1680,1431,1,0,0,0,0,0,0,0,1,-1,m
290,1240,1,1,0,0,0,0,0,1,0,0,e
580,465,2,1,0,0,0,0,0,0,1,-1,m
531,1703,0,0,0,0,0,0,0,1,0,0,e
364,593,0,0,1,0,1,0,0,0,0,0,e
2571,758,2,1,0,0,0,0,0,0,1,-1,m
365,1191,1,0,1,1,0,0,0,0,0,1,m
2198,1691,1,1,1,0,1,0,0,0,0,0,e
353,1878,1,2,1,0,0,1,0,0,0,-1,v
2174,58,1,0,0,0,0,0,0,0,1,-1,m
1900,1684,0,0,1,0,1,0,0,0,0,0,e
1894,1905,1,0,0,0,0,0,0,0,1,-1,m
614,137,0,1,0,0,0,0,1,0,0,1,v
1517,275,1,2,1,0,0,1,0,0,0,-1,v
1184,1130,0,3,0,0,0,0,1,0,0,3,v
1652,937,0,0,1,0,1,0,0,0,0,0,e
342,1464,0,0,1,0,1,0,0,0,0,0,e
2338,184,0,0,1,0,1,0,0,0,0,0,e
1791,1946,1,3,0,0,0,0,1,0,0,2,v
2664,539,1,3,0,0,0,0,1,0,0,2,v
715,1833,0,0,0,0,0,0,0,1,0,0,e
2152,1769,2,1,1,1,0,0,0,0,0,1,m
738,793,1,1,1,0,1,0,0,0,0,0,e
1375,1726,0,3,1,0,0,1,0,0,0,-3,v
155,613,2,3,1,0,0,1,0,0,0,-1,v
887,1197,2,0,0,0,0,0,0,0,1,-2,m
1217,418,3,1,0,0,0,0,0,0,1,-2,m
1828,946,1,2,0,0,0,0,1,0,0,1,v
1059,1890,1,2,0,0,0,0,1,0,0,1,v
1574,128,2,2,1,0,1,0,0,0,0,0,e
845,1644,2,1,1,1,0,0,0,0,0,1,m
411,2446,1,0,1,1,0,0,0,0,0,1,m
2541,2110,3,1,0,0,0,0,0,0,1,-2,m
1424,1854,2,1,0,0,0,0,0,0,1,-1,m
2229,110,0,2,0,0,0,0,1,0,0,2,v
2280,2647,1,1,1,0,1,0,0,0,0,0,e
2124,694,2,1,0,0,0,0,0,0,1,-1,m
2514,1196,1,1,0,0,0,0,0,1,0,0,e
2615,1444,1,0,1,1,0,0,0,0,0,1,m
1335,2530,0,0,1,0,1,0,0,0,0,0,e
321,566,0,0,0,0,0,0,0,1,0,0,e
2076,833,2,1,1,1,0,0,0,0,0,1,m
460,2613,2,2,0,0,0,0,0,1,0,0,e
340,380,1,4,0,0,0,0,1,0,0,3,v
1204,502,2,0,0,0,0,0,0,0,1,-2,m
614,2610,2,1,1,1,0,0,0,0,0,1,m
449,2690,2,0,1,1,0,0,0,0,0,2,m
405,629,2,1,0,0,0,0,0,0,1,-1,m
360,1631,0,2,1,0,0,1,0,0,0,-2,v
634,2304,0,0,0,0,0,0,0,1,0,0,e
2037,560,0,1,1,0,0,1,0,0,0,-1,v
1898,1190,1,0,0,0,0,0,0,0,1,-1,m
1909,1380,0,3,0,0,0,0,1,0,0,3,v
757,2299,1,1,1,0,1,0,0,0,0,0,e
2809,1654,1,0,0,0,0,0,0,0,1,-1,m
